topic_id,graph_id,text1,text2
health_insurance_cover_complementary_medicine (de),micro_b003,"Die Krankenkassen sollten Behandlungen bei Natur- oder Heilpraktikern nur dann übernehmen, wenn der versprochene therapeutische Effekt und dessen medizinischer Nutzen durch wissenschaftliche Erkenntnisse und nachvollziehbare Studien eindeutig nachgewiesen sind. Da in den meisten Fällen dieser konkrete Nachweis fehlt, ist Vorsicht geboten. Zwar berichten Patienten häufig von einer Linderung ihrer Beschwerden nach solchen Behandlungen, doch solange die zugrunde liegenden Wirkmechanismen unklar bleiben, sollte die finanzielle Priorität auf etablierte Behandlungsmethoden gelegt werden, deren Wirksamkeit evidenzbasiert ist.","Die Krankenkassen sollten Behandlungen beim Natur- oder Heilpraktiker nicht zahlen, es sei denn der versprochene Effekt und dessen medizinischer Nutzen sind handfest nachgewiesen. Genau dieser Nachweis fehlt jedoch in den meisten Fällen. Zwar verweisen die Patienten oft auf eine Linderung ihrer Beschwerden nach derartigen Behandlungen. Solange aber nicht klar ist, wieso es dazu kommt, sollte das Geld besser für Behandlungen ausgegeben werden, bei denen man es mit Sicherheit weiss."
cap_rent_increases (de),micro_b009,"Die derzeitige Praxis, bei der Mieter bei einem Umzug einen erheblich höheren Mietpreis als den Vormieter zahlen müssen, wirft Ungerechtigkeitsbedenken auf und ist nur schwer zu rechtfertigen. Zwar sind Instandsetzungsmaßnahmen vor dem Einzug des neuen Mieters für den Vermieter unumgänglich, doch könnten diese Kosten durch moderate, schrittweise Mieterhöhungen über die gesamte Mietdauer amortisiert werden. Insbesondere ist zu bedenken, dass der Mietpreis nicht bei jeder Neuvermietung über den ursprünglichen Grundmietpreis angehoben werden muss, um einen angemessenen Gewinn zu gewährleisten, da dies zu unverhältnismäßigen Preissprüngen führt.","Dass Mieter heutzutage bei einem Neueinzug einen viel höheren Preis als der Vormieter zahlen müssen, ist ungerecht und nicht mehr zu rechtfertigen. Sicherlich muss der Vermieter einige Instandsetzungs-Maßnahmen vor Neueinzug zahlen. Doch diese Ausgaben müssten auch durch minimale Mieterhöhungen über den gesamten Mietzeitraum getilgt werden können. Zumal der Mietpreis gegenüber dem Grundmietpreis für einen ausreichenden Gewinn nicht bei jeder Neuvermietung angehoben werden muss."
make_video_games_olympic (de),micro_b058,"Videospiele, bei mir namentlich FIFA, können junge Menschen stundenlang, intensiver und emotionaler begeistern als jeder Sport der Welt! Es wäre richtig, sie auch zu einer olympischen Disziplin zu machen. Vielleicht ist es für einen Zuschauer weniger spannend, als für den Spieler selbst, aber auch für aktuelle olympische Disziplinen, ich erinnere mich zuletzt an Curling oder 50 km Ski-Langlauf, muss man mehr als ein Freak sein, sich das länger als in der Zusammenfassung reinzuziehen. Außerdem ist die Hürde, Videospiele olympisch zu machen minimal, braucht es ja nicht mal Dopingkontrollen, sondern nur eine neutrale Konsole. Und körperliche, geistige und insbesondere mentale Fähigkeiten verlangt so manches Videospiel, wenn ich an das Finale des letzten Fifa-Turniers denke, mehr ab, als eine Kugel 20 Meter weit zu stoßen.","
Videospiele, wie beispielsweise FIFA, können junge Menschen auf intensive und emotionale Weise stundenlang fesseln, oft übersteigend die Faszination, die herkömmliche Sportarten hervorrufen. Die Aufnahme von Videospielen als olympische Disziplin wäre daher gerechtfertigt. Zwar mag die Zuschauererfahrung weniger packend sein als die des Spielers, doch gilt dies auch für einige aktuelle olympische Disziplinen wie Curling oder 50 km Ski-Langlauf, bei denen ein gewisses Spezialinteresse vorausgesetzt wird, um sie über den Zusammenfassungen hinaus zu verfolgen. 
Ein wesentlicher Vorteil der olympischen Etablierung von Videospielen liegt in der geringen Hürde ihrer Implementierung: Im Gegensatz zu anderen Sportarten erfordert sie keine Dopingkontrollen, sondern lediglich eine neutrale Spielumgebung. Darüber hinaus fordern viele Videospiele, insbesondere angesichts von Turnierfinals wie dem letzten FIFA-Turnier, körperliche Ausdauer, geistige Konzentration und mentale Stärke in einem Ausmaß, das das von manchen traditionellen olympischen Disziplinen, wie dem Kugelstoßen über 20 Meter, in mancher Hinsicht sogar übertrifft. "
keep_retirement_at_63 (de),micro_b022,"Nein, das Rentenalter sollte wieder auf 65 Jahre erhöht werden. Die stetig steigende Lebenserwartung führt zu einer älter werdenden Gesellschaft, die jedoch nicht automatisch mit erhöhter Krankheit oder kognitiver Einschränkung einhergeht. Durch die Anhebung des Rentenalters können wir von der umfangreichen Erfahrung und Lebensweisheit Älterer profitieren. Zudem sollte dies Anreiz sein, mehr altersgerechte und attraktive Beschäftigungsmöglichkeiten für Senioren zu schaffen, um deren aktive Teilhabe am gesellschaftlichen und wirtschaftlichen Leben zu fördern.","Nein, das Rentenalter sollte wieder auf 65 Jahre erhöht werden. Die Menschen werden im Durchschnitt älter, sie sind damit aber im Durchschnitt nicht kränker und nicht dümmer. Ohne sie würden wir auf ein großes Maß an gesammelten Erfahrungen verzichten. Außerdem müssten mehr Beschäftigungsangebote für die Senioren bereitgestellt werden."
public_broadcasting_fees_on_demand (de),micro_k010,"Bei dem aktuellen Fernsehangebot ist es angemessen, nur diejenigen zur Zahlung zu verpflichten, die die Inhalte tatsächlich konsumieren (wollen). Da viele Sendungen, insbesondere in Primetime, hauptsächlich auf die ältere Generation zugeschnitten sind, ist unklar, warum alle Zuschauer dafür bezahlen sollten. Zudem ist Werbung inzwischen auf allen Kanälen präsent, was den Vorteil für die derzeit zahlenden Zuschauer öffentlich-rechtlicher Sender relativiert. Ein Umstieg auf bedarfsgerechte Beitragszahlung würde wahrscheinlich zu einer Reduktion der öffentlich-rechtlichen Sender führen. Angesichts der Vielzahl an Sendern, die ohnehin häufig ähnliche Inhalte ausstrahlen, sollte dies jedoch kein wesentliches Problem darstellen.","Bei dem, was heutzutage im Fernsehen läuft, ist es angemessen, nur die Leute zahlen zu lassen, die die Beiträge auch wirklich verfolgen (wollen). Teilweise laufen nur Sendungen für die ältere Generation zu Spielfilmzeiten, wieso sollten also alle dafür zahlen? Werbung gibt es inzwischen auf allen Kanälen, also ergibt sich auch hierdurch kein Vorteil für die im Moment zahlenden Zuschauer der Öffentlich Rechtlichen Sender. Trotzdem muss man sagen, dass es dann wahrscheinlich viel weniger dieser Sender gibt, wenn nicht mehr ganz Deutschland zahlen muss. Das sollte allerdings bei der Masse an Sendungen und Sendern, die sowieso meistens das Gleiche zeigen, kein Problem sein."
allow_shops_to_open_on_holidays_and_sundays (de),micro_k022,"Es ist ganz klar, dass der Sonntag ein Ruhetag bleiben soll. Denn man kann ja an 6 Tagen die Woche einkaufen, da die Geschäfte an manchen Tagen bis 22 Uhr geöffnet haben. Somit sollte der Sonntag ein Tag des Beisammenseins der Familie sein, sonst wird sich eine neue Freizeitart bilden, in der die Menschen die Zeit in Supermärkten anstatt draußen oder beim gemeinsamen Gesprächen usw. verbringen. Außerdem gibt es kein Bedarf für das Offenhalten der Geschäfte an den Sonntagen.","Es ist nachvollziehbar, dass der Sonntag als Ruhetag erhalten bleiben sollte. Mit Öffnungszeiten bis 22 Uhr an bis zu 6 Tagen in der Woche besteht bereits ausreichend Gelegenheit zum Einkaufen. Der Sonntag sollte daher vorwiegend dem familiären Beisammensein vorbehalten bleiben, um die soziale Bindung und Entspannung in privatem Rahmen zu fördern. Ansonsten besteht die Gefahr, dass sich ein neuer Freizeittrend etabliert, in dem Supermärkte Vorrang vor Outdoor-Aktivitäten und geselligen Gesprächen erhalten. Zudem ist ein tatsächlicher Bedarf für sonntägliche Öffnungszeiten nicht ersichtlich, was die Notwendigkeit einer solchen Maßnahme in Frage stellt."
over_the_counter_morning_after_pill (de),micro_k029,"Niemand sollte die Möglichkeit haben, sich die ""Pille danach"" ohne Rezept in der Apotheke zu holen. Zwar böte dies den Vorteil, die Peinlichkeit eines Arztbesuchs oder einen nächtlichen Ambulanzbesuch zu vermeiden, jedoch überwiegen die Nachteile: 
- Eine vorherige Aufklärung über die mit der Einnahme verbundenen Risiken ist unerlässlich.
- Eine gründliche gynäkologische Untersuchung vor der Einnahme ist notwendig, um individuelle Gesundheitsrisiken auszuschließen.
- Es besteht das erhebliche Risiko, dass Frauen die rezeptfreie ""Pille danach"" fälschlicherweise als regelmäßigen Verhütungsersatz einsetzen könnten, was zu ungewollten Schwangerschaften und gesundheitlichen Komplikationen führen könnte.","Niemand sollte die Möglichkeit haben, sich die ""Pille danach"" rezeptfrei in der Apotheke zu holen. Zwar gäbe es den Vorteil, sich die Peinlichkeit eines Arztbesuches oder das nächtliche in-die-Ambulanz-fahren zu sparen, dennoch sollten Frauen vor der Einnahme über die Risiken aufgeklärt werden und gynäkologisch untersucht werden. Außerdem besteht das Risiko, dass Frauen die rezeptfreie ""Pille danach"" als Verhütungsersatz verwenden könnten."
TXL_airport_remain_operational_after_BER_opening (de),micro_b044,"Berlin Tegel, mit seiner zentrumsnahen Lage, bietet besondere Vorzüge insbesondere für Geschäftsreisende und sollte daher unbedingt weiterbetrieben werden. Seine Bedeutung als Wirtschaftsfaktor ist unverkennbar. Gleichzeitig sollten die erheblichen negativen Auswirkungen des Flugverkehrs auf die Umwelt berücksichtigt werden. Insbesondere der Fluglärm, der die Anwohner in Tegel seit Jahrzehnten belastet, muss in die Abwägung einbezogen werden. Um eine ausgewogene Entscheidung zu treffen, sollten die Vorteile der Erhaltung des Flughafens gegen die Notwendigkeit der Reduzierung von Umweltbelastungen und Lärmschutzmaßnahmen abgewogen werden.",Berlin Tegel ist als zentrumsnaher Flughafen gerade für Geschäftsreisende attraktiv und sollte unbedingt offen bleiben. Er ist ein Wirtschaftsfaktor. Die negativen Auswirkungen des Flugverkehrs sind aber beachtlich. Flugverkehr ist stark umweltschädlich. Ganz speziell in Tegel haben die Anwohner Jahrzehnte die Belastungen des Fluglärms ertragen.
allow_shops_to_open_on_holidays_and_sundays (de),micro_k013,"Auch Supermarktangestellte und Menschen, die in Einkaufszentren arbeiten, haben das Recht, einen freien Sonntag zu haben. Ebenso sollen Feiertage das bleiben, was sie sind: für die Einen Tage der Einkehr, für die anderen bezahlter Urlaub, die nicht vom eigentlichen Urlaub abgehen. Also ist es gut, wenn die Geschäfte an Sonn- und Feiertagen nicht öffnen. Menschen, die jedoch unter der Woche und Samstags arbeiten, haben dann allerdings ein Problem: alle anderen können werktags einkaufen gehen, sie jedoch nicht. Für diese Menschen stellen die späten Schließungszeiten, die inzwischen schon bis um 12:00 nachts gehen, eine gute Alternative dar.","Auch Supermarktangestellte und Mitarbeiter in Einkaufszentren haben das Recht auf einen arbeitsfreien Sonntag. Ebenso sollten Feiertage ihre ursprüngliche Bedeutung behalten: Tage der Besinnung oder bezahlte freie Zeit, die den regulären Urlaub nicht reduzieren. Daher ist es sinnvoll, dass Geschäfte an Sonn- und Feiertagen geschlossen bleiben. Allerdings stellen sich für Berufstätige, die unter der Woche und samstags arbeiten, Einkaufschwierigkeiten: Während andere unter der Woche einkaufen können, fällt diese Möglichkeit für sie weg. Als Kompensation bieten die verlängerten Öffnungszeiten, die bis 24:00 Uhr reichen, eine geeignete Alternative für diese Personengruppe, um ihren Einkaufsbedarf zu decken."
charge_tuition_fees (de),micro_b021,In Deutschland sollten keine Studiengebühren verlangt werden. Studieren und weiterbildendes Studium muss ein Grundrecht eines jeden Menschen sein. Studiengebühren bedingen eine Verlängerung der Studienzeiten. Das kostet!,"In Deutschland sollten keine Studiengebühren erhoben werden, da Bildung als Grundrecht für alle Menschen gelten sollte. Die Einführung von Studiengebühren führt in der Regel zu einer Verlängerung der Studienzeiten, was wiederum zu erhöhten Lebensunterhaltskosten und potenziell höheren Studienschulden für die Studierenden führt."
